filename,path_1km,path_25m,model_b_max_prob,model_b_passed,model_a_max_prob,model_a_positive_pixels,final_positive,label_1km_positive,label_25m_positive,status
patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19396_ignition_HWF002_20200427.npz,0.99768090,1,0.90296471,1,1,True,True,completed
patch_19397_ignition_GWF005_20200115.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19397_ignition_GWF005_20200115.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19397_ignition_GWF005_20200115.npz,1.00000000,1,0.96236074,1,1,True,True,completed
patch_19398_ignition_RWF006_20200428.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19398_ignition_RWF006_20200428.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19398_ignition_RWF006_20200428.npz,0.99820530,1,0.86077410,1,1,True,True,completed
patch_19399_ignition_RWF007_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19399_ignition_RWF007_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19399_ignition_RWF007_20200429.npz,0.96828473,1,0.82908958,1,1,True,True,completed
patch_19400_ignition_SWF007_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19400_ignition_SWF007_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19400_ignition_SWF007_20200429.npz,0.99998009,1,0.97304642,1,1,True,True,completed
patch_19401_ignition_SWF008_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19401_ignition_SWF008_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19401_ignition_SWF008_20200429.npz,0.99997020,1,0.97032249,1,1,True,True,completed
patch_19402_ignition_LWF023_20200430.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19402_ignition_LWF023_20200430.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19402_ignition_LWF023_20200430.npz,0.99999893,1,0.97530633,1,1,True,True,completed
patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19403_ignition_CWF005_20200501.npz,0.97169757,1,0.83742446,1,1,True,True,completed
patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19404_ignition_PWF005_20200315.npz,0.99999988,1,0.93221462,1,1,True,True,completed
patch_19448_ignition_LWF034_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19448_ignition_LWF034_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19448_ignition_LWF034_20200504.npz,0.85155940,1,0.83293056,1,1,True,True,completed
patch_19449_ignition_EWF010_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19449_ignition_EWF010_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19449_ignition_EWF010_20200504.npz,0.80504042,1,0.80865413,1,1,True,True,completed
patch_19450_ignition_MWF003_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19450_ignition_MWF003_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19450_ignition_MWF003_20200504.npz,0.70218521,1,0.80563492,1,1,True,True,completed
patch_19451_ignition_LWF038_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19451_ignition_LWF038_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19451_ignition_LWF038_20200504.npz,0.97382957,1,0.80913997,1,1,True,True,completed
patch_19452_ignition_LWF039_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19452_ignition_LWF039_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19452_ignition_LWF039_20200504.npz,0.99389642,1,0.92958701,1,1,True,True,completed
patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19453_ignition_RWF011_20200505.npz,0.95020926,1,0.87374860,1,1,True,True,completed
patch_19454_ignition_SWF012_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19454_ignition_SWF012_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19454_ignition_SWF012_20200505.npz,0.57723325,1,0.78776538,1,1,True,True,completed
patch_19455_ignition_GWF009_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19455_ignition_GWF009_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19455_ignition_GWF009_20200506.npz,0.94477874,1,0.76944476,1,1,True,True,completed
patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19456_ignition_HWF008_20200506.npz,0.99126834,1,0.95056468,1,1,True,True,completed
patch_19457_ignition_SWF013_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19457_ignition_SWF013_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19457_ignition_SWF013_20200506.npz,0.93825763,1,0.79390311,1,1,True,True,completed
patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19458_ignition_GWF010_20200506.npz,0.65653294,1,0.64845818,1,1,True,True,completed
patch_19459_ignition_LWF049_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19459_ignition_LWF049_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19459_ignition_LWF049_20200507.npz,0.99935752,1,0.93610060,1,1,True,True,completed
patch_19460_ignition_LWF050_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19460_ignition_LWF050_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19460_ignition_LWF050_20200507.npz,0.99997401,1,0.97099876,1,1,True,True,completed
patch_19473_ignition_CWF001_20200217.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19473_ignition_CWF001_20200217.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19473_ignition_CWF001_20200217.npz,0.99987924,1,0.95599818,1,1,True,True,completed
patch_19475_ignition_PWF001_20200101.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19475_ignition_PWF001_20200101.npz,,0.16856436,0,,,0,True,,blocked_by_model_b
patch_19476_ignition_LWF001_20200320.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19476_ignition_LWF001_20200320.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19476_ignition_LWF001_20200320.npz,0.98114508,1,0.74911499,1,1,True,True,completed
patch_19478_ignition_PWF002_20200418.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19478_ignition_PWF002_20200418.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19478_ignition_PWF002_20200418.npz,0.99994838,1,0.85290170,1,1,True,True,completed
patch_19479_ignition_LWF006_20200422.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19479_ignition_LWF006_20200422.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19479_ignition_LWF006_20200422.npz,0.92980379,1,0.88326591,1,1,True,True,completed
patch_19480_ignition_SWF001_20200422.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19480_ignition_SWF001_20200422.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19480_ignition_SWF001_20200422.npz,0.95593369,1,0.74895918,1,1,True,True,completed
patch_19488_ignition_LWF009_20200303.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19488_ignition_LWF009_20200303.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19488_ignition_LWF009_20200303.npz,0.99995089,1,0.94920897,1,1,True,True,completed
patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19489_ignition_LWF010_20200115.npz,1.00000000,1,0.98662424,1,1,True,True,completed
patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19490_ignition_LWF054_20200507.npz,0.99880314,1,0.95437294,1,1,True,True,completed
patch_19491_ignition_LWF056_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19491_ignition_LWF056_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19491_ignition_LWF056_20200507.npz,0.99825507,1,0.92249858,1,1,True,True,completed
patch_19492_ignition_WWF005_20200509.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19492_ignition_WWF005_20200509.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19492_ignition_WWF005_20200509.npz,0.82452071,1,0.71954614,1,1,True,True,completed
patch_19493_ignition_HWF011_20200512.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19493_ignition_HWF011_20200512.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19493_ignition_HWF011_20200512.npz,0.99763858,1,0.95146400,1,1,True,True,completed
patch_19494_ignition_PWF011_20200512.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19494_ignition_PWF011_20200512.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19494_ignition_PWF011_20200512.npz,0.92709208,1,0.78132647,1,1,True,True,completed
patch_19495_ignition_GWF011_20200513.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19495_ignition_GWF011_20200513.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19495_ignition_GWF011_20200513.npz,0.85566086,1,0.87182474,1,1,True,True,completed
patch_19496_ignition_SWF019_20200513.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19496_ignition_SWF019_20200513.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19496_ignition_SWF019_20200513.npz,0.90356928,1,0.82955313,1,1,True,True,completed
patch_19497_ignition_PWF015_20200514.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19497_ignition_PWF015_20200514.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19497_ignition_PWF015_20200514.npz,0.99020249,1,0.78376693,1,1,True,True,completed
patch_19506_ignition_RWF002_20200426.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19506_ignition_RWF002_20200426.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19506_ignition_RWF002_20200426.npz,0.99998724,1,0.92670554,1,1,True,True,completed
patch_19507_ignition_RWF003_20200426.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19507_ignition_RWF003_20200426.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19507_ignition_RWF003_20200426.npz,0.99999785,1,0.94991010,1,1,True,True,completed
patch_19508_ignition_SWF005_20200423.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19508_ignition_SWF005_20200423.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19508_ignition_SWF005_20200423.npz,0.94798815,1,0.88542145,1,1,True,True,completed
patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19509_ignition_LWF018_20200429.npz,0.99999964,1,0.96326661,1,1,True,True,completed
patch_19510_ignition_SWF006_20200428.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19510_ignition_SWF006_20200428.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19510_ignition_SWF006_20200428.npz,0.99864429,1,0.90258104,1,1,True,True,completed
patch_19511_ignition_EWF008_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19511_ignition_EWF008_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19511_ignition_EWF008_20200429.npz,0.99890041,1,0.89995962,1,1,True,True,completed
patch_19512_ignition_LWF020_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19512_ignition_LWF020_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19512_ignition_LWF020_20200429.npz,0.99999976,1,0.94736677,1,1,True,True,completed
patch_19513_ignition_LWF021_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19513_ignition_LWF021_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19513_ignition_LWF021_20200429.npz,1.00000000,1,0.98674029,1,1,True,True,completed
patch_19514_ignition_LWF022_20200429.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19514_ignition_LWF022_20200429.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19514_ignition_LWF022_20200429.npz,0.99999988,1,0.97471344,1,1,True,True,completed
patch_19515_ignition_WWF002_20200430.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19515_ignition_WWF002_20200430.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19515_ignition_WWF002_20200430.npz,0.99899358,1,0.88033158,1,1,True,True,completed
patch_19516_ignition_SWF010_20200430.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19516_ignition_SWF010_20200430.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19516_ignition_SWF010_20200430.npz,0.99981964,1,0.93185872,1,1,True,True,completed
patch_19517_ignition_LWF026_20200502.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19517_ignition_LWF026_20200502.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19517_ignition_LWF026_20200502.npz,0.41447845,1,0.60971123,1,1,True,True,completed
patch_19518_ignition_LWF028_20200503.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19518_ignition_LWF028_20200503.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19518_ignition_LWF028_20200503.npz,0.99810433,1,0.94046873,1,1,True,True,completed
patch_19532_ignition_LWF063_20200515.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19532_ignition_LWF063_20200515.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19532_ignition_LWF063_20200515.npz,0.99935776,1,0.93529618,1,1,True,True,completed
patch_19533_ignition_LWF062_20200514.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19533_ignition_LWF062_20200514.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19533_ignition_LWF062_20200514.npz,0.85913080,1,0.81833905,1,1,True,True,completed
patch_19534_ignition_LWF065_20200515.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19534_ignition_LWF065_20200515.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19534_ignition_LWF065_20200515.npz,0.99907613,1,0.88643628,1,1,True,True,completed
patch_19535_ignition_HWF013_20200514.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19535_ignition_HWF013_20200514.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19535_ignition_HWF013_20200514.npz,0.96482372,1,0.85707468,1,1,True,True,completed
patch_19536_ignition_RWF018_20200516.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19536_ignition_RWF018_20200516.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19536_ignition_RWF018_20200516.npz,0.90425682,1,0.87728906,1,1,True,True,completed
patch_19537_ignition_RWF019_20200516.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19537_ignition_RWF019_20200516.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19537_ignition_RWF019_20200516.npz,0.97238749,1,0.85976988,1,1,True,True,completed
patch_19538_ignition_RWF020_20200516.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19538_ignition_RWF020_20200516.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19538_ignition_RWF020_20200516.npz,0.97634399,1,0.92109710,1,1,True,True,completed
patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19539_ignition_CWF020_20200518.npz,0.98184264,1,0.85463166,1,1,True,True,completed
patch_19540_ignition_CWF021_20200518.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19540_ignition_CWF021_20200518.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19540_ignition_CWF021_20200518.npz,0.51431817,1,0.83691287,1,1,True,True,completed
patch_19555_ignition_LWF029_20200503.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19555_ignition_LWF029_20200503.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19555_ignition_LWF029_20200503.npz,0.99797887,1,0.90856016,1,1,True,True,completed
patch_19556_ignition_LWF031_20200503.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19556_ignition_LWF031_20200503.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19556_ignition_LWF031_20200503.npz,0.99859327,1,0.93921393,1,1,True,True,completed
patch_19557_ignition_LWF032_20200503.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19557_ignition_LWF032_20200503.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19557_ignition_LWF032_20200503.npz,0.99855787,1,0.91557902,1,1,True,True,completed
patch_19558_ignition_PWF007_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19558_ignition_PWF007_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19558_ignition_PWF007_20200504.npz,0.85580051,1,0.70883012,1,1,True,True,completed
patch_19559_ignition_LWF043_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19559_ignition_LWF043_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19559_ignition_LWF043_20200505.npz,0.99989128,1,0.97516352,1,1,True,True,completed
patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19560_ignition_LWF044_20200505.npz,0.83217865,1,0.78336066,1,1,True,True,completed
patch_19561_ignition_HWF007_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19561_ignition_HWF007_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19561_ignition_HWF007_20200505.npz,0.96055543,1,0.86818004,1,1,True,True,completed
patch_19562_ignition_LWF045_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19562_ignition_LWF045_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19562_ignition_LWF045_20200505.npz,0.99989939,1,0.96428615,1,1,True,True,completed
patch_19563_ignition_WWF003_20200504.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19563_ignition_WWF003_20200504.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19563_ignition_WWF003_20200504.npz,0.63794541,1,0.69166052,1,1,True,True,completed
patch_19564_ignition_HWF006_20200505.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19564_ignition_HWF006_20200505.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19564_ignition_HWF006_20200505.npz,0.84359962,1,0.91791695,1,1,True,True,completed
patch_19565_ignition_LWF048_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19565_ignition_LWF048_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19565_ignition_LWF048_20200506.npz,0.99731308,1,0.85464448,1,1,True,True,completed
patch_19566_ignition_LWF051_20200506.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19566_ignition_LWF051_20200506.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19566_ignition_LWF051_20200506.npz,0.96448064,1,0.87176234,1,1,True,True,completed
patch_19567_ignition_LWF052_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19567_ignition_LWF052_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19567_ignition_LWF052_20200507.npz,0.99999917,1,0.92309445,1,1,True,True,completed
patch_19568_ignition_LWF053_20200507.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19568_ignition_LWF053_20200507.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19568_ignition_LWF053_20200507.npz,0.91976410,1,0.77132916,1,1,True,True,completed
patch_19584_ignition_CWF022_20200518.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19584_ignition_CWF022_20200518.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19584_ignition_CWF022_20200518.npz,0.97542441,1,0.85291600,1,1,True,True,completed
patch_19585_ignition_CWF025_20200518.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19585_ignition_CWF025_20200518.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19585_ignition_CWF025_20200518.npz,0.86669642,1,0.87396175,1,1,True,True,completed
patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19586_ignition_RWF026_20200520.npz,0.99354547,1,0.92725152,1,1,True,True,completed
patch_19587_ignition_HWF016_20200523.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19587_ignition_HWF016_20200523.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19587_ignition_HWF016_20200523.npz,0.98497838,1,0.88139641,1,1,True,True,completed
patch_19588_ignition_LWF075_20200524.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19588_ignition_LWF075_20200524.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19588_ignition_LWF075_20200524.npz,0.99959052,1,0.93758386,1,1,True,True,completed
patch_19589_ignition_RWF027_20200527.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19589_ignition_RWF027_20200527.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19589_ignition_RWF027_20200527.npz,0.89012885,1,0.75087517,1,1,True,True,completed
patch_19590_ignition_HWF019_20200527.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19590_ignition_HWF019_20200527.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19590_ignition_HWF019_20200527.npz,0.61061627,1,0.71270698,1,1,True,True,completed
patch_19591_ignition_HWF020_20200528.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19591_ignition_HWF020_20200528.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19591_ignition_HWF020_20200528.npz,0.93346238,1,0.78651804,1,1,True,True,completed
patch_19592_ignition_CWF032_20200530.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19592_ignition_CWF032_20200530.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19592_ignition_CWF032_20200530.npz,0.97363156,1,0.95227224,1,1,True,True,completed
